scenario,degree,n_seg,trust_radius_km,completed_repeats,error_repeats,certified,dense_probe_ok,margin_km,ctrl_cost_ms2,objective,iters,stop,hull_violation_km,runtime_min_s,runtime_median_s,runtime_max_s,consistent_metrics,J_true,koz_binds,tau_star
phase170,8,64,4000.0,15,0,True,True,2.030206876682314,20.908943416975546,0.0004490935963864515,13,4,0.0,0.3867669105529785,0.3889162540435791,0.45918989181518555,True,0.0004491326740389977,True,0.28700000000000003
planechange,6,2,2000.0,15,0,False,True,145.0,113.55667177854589,0.014676421390708086,1000,0,5.1360067118366715e-05,2.7579610347747803,2.7842841148376465,2.9686708450317383,True,0.014676517648830732,False,0.0
planechange,6,4,2000.0,15,0,True,True,145.0,11.861989789908291,0.0001495341280440323,322,1,3.8198777474462986e-11,1.0055789947509766,1.0110628604888916,1.0773639678955078,True,0.00014954238307350406,False,0.0
planechange,6,8,2000.0,15,0,True,True,70.23034314428332,7.936496897934528,6.590431183526593e-05,10,4,0.0,0.0858309268951416,0.08640503883361816,0.08712172508239746,True,6.591082224240608e-05,True,0.3018
planechange,6,16,2000.0,15,0,True,True,18.141871444530807,7.641742928997426,6.153353921384448e-05,10,4,0.0,0.0991361141204834,0.0996849536895752,0.10882902145385742,True,6.153992105340082e-05,True,0.53655
planechange,6,32,2000.0,15,0,True,True,4.573429691196907,7.574452115733108,6.0539232273978884e-05,10,4,0.0,0.1301257610321045,0.1308441162109375,0.13609600067138672,True,6.054558505372745e-05,True,0.4056
planechange,6,64,2000.0,15,0,True,True,1.1373236225090295,7.557095314168121,6.029615820565468e-05,10,4,0.0,0.20281481742858887,0.20420193672180176,0.23788070678710938,True,6.0302502348943225e-05,True,0.4128
planechange,7,2,2000.0,15,0,False,True,145.0,112.61750225634023,0.0138213111335441,1000,0,6.061551175662316e-06,3.453697681427002,3.495129108428955,3.6801888942718506,True,0.01382140137874319,False,0.0
planechange,7,4,2000.0,15,0,True,True,145.0,11.862874290030076,0.0001491186864441351,17,4,9.094947017729282e-13,0.12048101425170898,0.12137603759765625,0.12664103507995605,True,0.00014912691133972013,False,0.0
planechange,7,8,2000.0,15,0,True,True,69.16630881222318,7.934684077109268,6.583083419906205e-05,10,4,0.0,0.10380983352661133,0.10476398468017578,0.10642409324645996,True,6.583734305570457e-05,True,0.2872
planechange,7,16,2000.0,15,0,True,True,18.076478058923385,7.643975051878967,6.147884193013781e-05,10,4,0.0,0.12158012390136719,0.12251591682434082,0.14773082733154297,True,6.148522656298517e-05,True,0.5362
planechange,7,32,2000.0,15,0,True,True,4.538995195353891,7.578954167338143,6.047747291425829e-05,10,4,0.0,0.16122817993164062,0.1628429889678955,0.1937708854675293,True,6.048383217931042e-05,True,0.38715
planechange,7,64,2000.0,15,0,True,True,1.138917809143095,7.5625676365311545,6.023315729185915e-05,10,4,0.0,0.2612180709838867,0.2630288600921631,0.27324771881103516,True,6.023950939567395e-05,True,0.39735000000000004
planechange,8,2,2000.0,15,0,False,True,145.0,112.05261859073997,0.013504341748309705,1000,0,3.031388587260153e-06,4.352647066116333,4.409137010574341,7.875178813934326,True,0.013504434195819015,False,0.0
planechange,8,4,2000.0,15,0,True,True,145.0,11.86709401166946,0.00014896209290863173,14,4,9.094947017729282e-13,0.12871289253234863,0.13042783737182617,0.14896297454833984,True,0.00014897030445167508,False,0.0
planechange,8,8,2000.0,15,0,True,True,69.11177787267206,7.934562690936686,6.582055907723369e-05,10,4,0.0,0.12079429626464844,0.12199997901916504,0.1253201961517334,True,6.582707256221556e-05,True,0.28700000000000003
planechange,8,16,2000.0,15,0,True,True,18.22048078930129,7.645365226593964,6.140110219089289e-05,10,4,0.0,0.1456282138824463,0.14706707000732422,0.18729305267333984,True,6.140750434696494e-05,True,0.5367000000000001
planechange,8,32,2000.0,15,0,True,True,4.54125544976705,7.576533657101316,6.0375041807836914e-05,10,4,0.0,0.20155811309814453,0.20511317253112793,0.22169017791748047,True,6.038141455807155e-05,True,0.3876
planechange,8,64,2000.0,15,0,True,True,1.1438359100002344,7.5578750805831625,6.012320726484128e-05,10,4,0.0,0.3173489570617676,0.33928799629211426,0.4082319736480713,True,6.0129569922226884e-05,True,0.38580000000000003
